stature,weightkg,SizeShirt,SizePants
170,85,L/XL,S/M
175,83,L/XL,S/M
172,64,S/M,XXS/XS
171,85,L/XL,S/M
174,74,M/L,XS/S
173,88,L/XL,S/M
177,105,XL/XXL,M/L
166,73,M/L,XS/S
174,69,M/L,XS/S
177,113,XXL/XXXL,L/XL
162,58,S/M,XXS/XS
165,72,M/L,XS/S
174,100,XL/XXL,M/L
185,81,L/XL,S/M
176,92,L/XL,S/M
183,90,L/XL,S/M
169,81,L/XL,S/M
177,91,L/XL,S/M
174,91,L/XL,S/M
172,95,L/XL,S/M
162,67,M/L,XS/S
167,75,M/L,XS/S
165,81,L/XL,S/M
189,77,XL/XXL,M/L
173,77,L/XL,S/M
168,71,M/L,XS/S
175,84,L/XL,S/M
174,94,L/XL,S/M
164,67,M/L,XS/S
174,89,L/XL,S/M
179,90,L/XL,S/M
188,135,XXL/XXXL,XL/XXL
183,102,XL/XXL,M/L
166,64,S/M,XXS/XS
183,83,L/XL,S/M
184,88,L/XL,S/M
175,85,L/XL,S/M
186,87,L/XL,S/M
181,103,XL/XXL,M/L
177,90,L/XL,S/M
181,69,M/L,XS/S
179,77,L/XL,S/M
182,77,L/XL,S/M
180,86,L/XL,S/M
187,100,XL/XXL,M/L
164,62,S/M,XXS/XS
176,69,M/L,XS/S
173,66,M/L,XS/S
179,112,XXL/XXXL,L/XL
175,79,L/XL,S/M
174,73,M/L,XS/S
177,75,M/L,XS/S
172,71,M/L,XS/S
169,91,L/XL,S/M
174,93,L/XL,S/M
172,76,L/XL,S/M
177,77,L/XL,S/M
172,79,L/XL,S/M
165,78,L/XL,S/M
165,76,L/XL,S/M
169,75,M/L,XS/S
176,98,XL/XXL,M/L
171,85,L/XL,S/M
176,86,L/XL,S/M
174,101,XL/XXL,M/L
174,124,XXL/XXXL,XL/XXL
180,101,XL/XXL,M/L
178,113,XXL/XXXL,L/XL
170,89,L/XL,S/M
195,117,XXL/XXXL,L/XL
182,126,XXL/XXXL,XL/XXL
181,105,XL/XXL,M/L
176,72,M/L,XS/S
161,66,M/L,XS/S
161,74,M/L,XS/S
165,71,M/L,XS/S
179,83,L/XL,S/M
173,70,M/L,XS/S
169,90,L/XL,S/M
177,75,M/L,XS/S
179,93,L/XL,S/M
183,111,XXL/XXXL,L/XL
186,89,L/XL,S/M
166,69,M/L,XS/S
180,93,L/XL,S/M
177,68,M/L,XS/S
174,94,L/XL,S/M
185,89,L/XL,S/M
165,76,L/XL,S/M
163,79,L/XL,S/M
177,109,XL/XXL,M/L
176,97,XL/XXL,M/L
175,89,L/XL,S/M
178,76,L/XL,S/M
174,75,M/L,XS/S
162,71,M/L,XS/S
171,82,L/XL,S/M
165,95,L/XL,S/M
178,86,L/XL,S/M
175,76,L/XL,S/M
176,77,L/XL,S/M
179,94,L/XL,S/M
172,70,M/L,XS/S
182,92,L/XL,S/M
180,109,XL/XXL,M/L
174,66,M/L,XS/S
177,110,XL/XXL,M/L
170,89,L/XL,S/M
162,65,S/M,XXS/XS
171,63,S/M,XXS/XS
173,77,L/XL,S/M
180,95,L/XL,S/M
180,69,M/L,XS/S
182,94,L/XL,S/M
175,64,S/M,XXS/XS
184,101,XL/XXL,M/L
184,76,L/XL,S/M
185,90,L/XL,S/M
160,68,M/L,XS/S
168,60,S/M,XXS/XS
165,70,M/L,XS/S
173,59,S/M,XXS/XS
171,70,M/L,XS/S
168,70,M/L,XS/S
172,89,L/XL,S/M
166,80,L/XL,S/M
176,92,L/XL,S/M
169,97,XL/XXL,M/L
179,86,L/XL,S/M
173,77,L/XL,S/M
160,76,L/XL,S/M
183,84,L/XL,S/M
179,87,L/XL,S/M
170,90,L/XL,S/M
184,84,L/XL,S/M
179,101,XL/XXL,M/L
164,82,L/XL,S/M
174,84,L/XL,S/M
179,95,L/XL,S/M
197,120,XXL/XXXL,L/XL
171,78,L/XL,S/M
169,63,S/M,XXS/XS
160,85,L/XL,S/M
185,130,XXL/XXXL,XL/XXL
161,69,M/L,XS/S
172,99,XL/XXL,M/L
172,113,XXL/XXXL,L/XL
176,81,L/XL,S/M
166,58,S/M,XXS/XS
177,100,XL/XXL,M/L
170,72,M/L,XS/S
169,77,L/XL,S/M
172,79,L/XL,S/M
177,104,XL/XXL,M/L
168,86,L/XL,S/M
175,94,L/XL,S/M
174,85,L/XL,S/M
168,82,L/XL,S/M
172,87,L/XL,S/M
184,72,L/XL,S/M
175,99,XL/XXL,M/L
176,76,L/XL,S/M
178,120,XXL/XXXL,L/XL
163,69,M/L,XS/S
169,89,L/XL,S/M
175,90,L/XL,S/M
170,67,M/L,XS/S
171,81,L/XL,S/M
175,75,M/L,XS/S
183,86,L/XL,S/M
182,97,XL/XXL,M/L
176,85,L/XL,S/M
165,80,L/XL,S/M
176,74,M/L,XS/S
172,81,L/XL,S/M
173,69,M/L,XS/S
164,64,S/M,XXS/XS
174,73,M/L,XS/S
167,73,M/L,XS/S
169,77,L/XL,S/M
177,86,L/XL,S/M
174,101,XL/XXL,M/L
169,80,L/XL,S/M
178,84,L/XL,S/M
182,80,L/XL,S/M
181,120,XXL/XXXL,L/XL
192,96,XXL/XXXL,L/XL
180,67,M/L,XS/S
173,88,L/XL,S/M
171,78,L/XL,S/M
172,61,S/M,XXS/XS
170,75,M/L,XS/S
177,65,S/M,XXS/XS
189,68,XL/XXL,M/L
182,86,L/XL,S/M
177,74,M/L,XS/S
176,77,L/XL,S/M
180,72,M/L,XS/S
173,64,S/M,XXS/XS
181,84,L/XL,S/M
182,73,M/L,XS/S
176,95,L/XL,S/M
174,121,XXL/XXXL,XL/XXL
180,84,L/XL,S/M
183,89,L/XL,S/M
181,115,XXL/XXXL,L/XL
173,85,L/XL,S/M
171,67,M/L,XS/S
166,89,L/XL,S/M
167,97,XL/XXL,M/L
176,82,L/XL,S/M
176,83,L/XL,S/M
175,86,L/XL,S/M
173,76,L/XL,S/M
161,80,L/XL,S/M
176,68,M/L,XS/S
164,69,M/L,XS/S
166,79,L/XL,S/M
186,99,XL/XXL,M/L
168,86,L/XL,S/M
186,80,L/XL,S/M
172,98,XL/XXL,M/L
170,86,L/XL,S/M
172,76,L/XL,S/M
185,71,L/XL,S/M
165,72,M/L,XS/S
182,126,XXL/XXXL,XL/XXL
170,81,L/XL,S/M
172,87,L/XL,S/M
172,80,L/XL,S/M
183,112,XXL/XXXL,L/XL
178,72,M/L,XS/S
163,77,L/XL,S/M
168,63,S/M,XXS/XS
172,81,L/XL,S/M
175,101,XL/XXL,M/L
163,93,L/XL,S/M
168,95,L/XL,S/M
181,107,XL/XXL,M/L
177,82,L/XL,S/M
179,81,L/XL,S/M
181,104,XL/XXL,M/L
176,90,L/XL,S/M
166,92,L/XL,S/M
168,77,L/XL,S/M
171,76,L/XL,S/M
178,70,M/L,XS/S
175,87,L/XL,S/M
167,72,M/L,XS/S
164,71,M/L,XS/S
183,71,L/XL,S/M
173,75,M/L,XS/S
168,81,L/XL,S/M
182,108,XL/XXL,M/L
171,93,L/XL,S/M
170,83,L/XL,S/M
178,119,XXL/XXXL,L/XL
179,100,XL/XXL,M/L
180,99,XL/XXL,M/L
172,92,L/XL,S/M
166,91,L/XL,S/M
168,78,L/XL,S/M
176,78,L/XL,S/M
162,66,M/L,XS/S
168,64,S/M,XXS/XS
175,91,L/XL,S/M
185,85,L/XL,S/M
162,64,S/M,XXS/XS
172,77,L/XL,S/M
177,114,XXL/XXXL,L/XL
178,59,S/M,XXS/XS
166,55,XS/S,XXS
171,85,L/XL,S/M
181,114,XXL/XXXL,L/XL
187,107,XL/XXL,M/L
165,81,L/XL,S/M
175,83,L/XL,S/M
171,87,L/XL,S/M
184,73,L/XL,S/M
186,73,L/XL,S/M
196,87,XXL/XXXL,L/XL
178,123,XXL/XXXL,XL/XXL
168,68,M/L,XS/S
170,91,L/XL,S/M
173,78,L/XL,S/M
178,78,L/XL,S/M
164,69,M/L,XS/S
169,63,S/M,XXS/XS
167,80,L/XL,S/M
181,74,M/L,XS/S
171,72,M/L,XS/S
180,84,L/XL,S/M
174,75,M/L,XS/S
179,76,L/XL,S/M
168,117,XXL/XXXL,L/XL
185,83,L/XL,S/M
181,64,M/L,XS/S
176,79,L/XL,S/M
169,91,L/XL,S/M
175,74,M/L,XS/S
179,81,L/XL,S/M
176,118,XXL/XXXL,L/XL
167,69,M/L,XS/S
181,107,XL/XXL,M/L
172,109,XL/XXL,M/L
176,92,L/XL,S/M
189,102,XL/XXL,M/L
186,119,XXL/XXXL,L/XL
188,88,XL/XXL,M/L
174,63,S/M,XXS/XS
179,84,L/XL,S/M
177,99,XL/XXL,M/L
178,67,M/L,XS/S
174,104,XL/XXL,M/L
197,92,XXL/XXXL,L/XL
174,82,L/XL,S/M
179,89,L/XL,S/M
163,85,L/XL,S/M
173,60,S/M,XXS/XS
166,120,XXL/XXXL,L/XL
178,81,L/XL,S/M
174,78,L/XL,S/M
174,90,L/XL,S/M
166,81,L/XL,S/M
178,87,L/XL,S/M
175,84,L/XL,S/M
169,86,L/XL,S/M
179,110,XL/XXL,M/L
173,97,XL/XXL,M/L
183,103,XL/XXL,M/L
174,77,L/XL,S/M
175,71,M/L,XS/S
177,88,L/XL,S/M
180,59,M/L,XS/S
162,60,S/M,XXS/XS
174,79,L/XL,S/M
180,78,L/XL,S/M
178,102,XL/XXL,M/L
175,95,L/XL,S/M
165,62,S/M,XXS/XS
184,76,L/XL,S/M
178,68,M/L,XS/S
177,92,L/XL,S/M
166,67,M/L,XS/S
169,71,M/L,XS/S
160,78,L/XL,S/M
188,73,XL/XXL,M/L
169,73,M/L,XS/S
181,72,M/L,XS/S
178,85,L/XL,S/M
179,70,M/L,XS/S
182,76,L/XL,S/M
167,71,M/L,XS/S
171,96,XL/XXL,M/L
177,88,L/XL,S/M
179,76,L/XL,S/M
172,97,XL/XXL,M/L
178,84,L/XL,S/M
168,73,M/L,XS/S
174,80,L/XL,S/M
170,70,M/L,XS/S
177,88,L/XL,S/M
168,71,M/L,XS/S
184,101,XL/XXL,M/L
164,77,L/XL,S/M
176,108,XL/XXL,M/L
180,96,XL/XXL,M/L
173,86,L/XL,S/M
180,73,M/L,XS/S
172,74,M/L,XS/S
177,93,L/XL,S/M
179,76,L/XL,S/M
170,80,L/XL,S/M
169,79,L/XL,S/M
180,104,XL/XXL,M/L
166,78,L/XL,S/M
177,79,L/XL,S/M
163,77,L/XL,S/M
182,76,L/XL,S/M
172,80,L/XL,S/M
164,69,M/L,XS/S
157,69,M/L,XS/S
165,72,M/L,XS/S
174,59,S/M,XXS/XS
176,87,L/XL,S/M
194,101,XXL/XXXL,L/XL
176,87,L/XL,S/M
172,77,L/XL,S/M
182,114,XXL/XXXL,L/XL
175,88,L/XL,S/M
178,103,XL/XXL,M/L
167,98,XL/XXL,M/L
178,99,XL/XXL,M/L
179,88,L/XL,S/M
172,78,L/XL,S/M
179,75,M/L,XS/S
167,75,M/L,XS/S
175,93,L/XL,S/M
174,82,L/XL,S/M
169,78,L/XL,S/M
179,87,L/XL,S/M
169,79,L/XL,S/M
167,63,S/M,XXS/XS
173,82,L/XL,S/M
181,72,M/L,XS/S
170,96,XL/XXL,M/L
174,97,XL/XXL,M/L
180,81,L/XL,S/M
171,94,L/XL,S/M
173,77,L/XL,S/M
169,68,M/L,XS/S
169,79,L/XL,S/M
182,71,M/L,XS/S
174,84,L/XL,S/M
175,64,S/M,XXS/XS
182,94,L/XL,S/M
170,66,M/L,XS/S
172,82,L/XL,S/M
185,76,L/XL,S/M
165,81,L/XL,S/M
170,83,L/XL,S/M
179,76,L/XL,S/M
170,69,M/L,XS/S
167,69,M/L,XS/S
173,95,L/XL,S/M
173,83,L/XL,S/M
170,93,L/XL,S/M
168,90,L/XL,S/M
180,64,M/L,XS/S
172,78,L/XL,S/M
172,111,XXL/XXXL,L/XL
178,83,L/XL,S/M
161,66,M/L,XS/S
172,78,L/XL,S/M
182,82,L/XL,S/M
165,92,L/XL,S/M
180,74,M/L,XS/S
178,71,M/L,XS/S
177,83,L/XL,S/M
167,72,M/L,XS/S
164,64,S/M,XXS/XS
185,76,L/XL,S/M
171,74,M/L,XS/S
178,63,S/M,XXS/XS
173,77,L/XL,S/M
162,53,XS/S,XXS
167,77,L/XL,S/M
167,84,L/XL,S/M
169,96,XL/XXL,M/L
162,76,L/XL,S/M
176,80,L/XL,S/M
168,104,XL/XXL,M/L
170,66,M/L,XS/S
181,86,L/XL,S/M
183,100,XL/XXL,M/L
166,75,M/L,XS/S
180,88,L/XL,S/M
179,90,L/XL,S/M
167,73,M/L,XS/S
183,93,L/XL,S/M
172,76,L/XL,S/M
175,88,L/XL,S/M
181,78,L/XL,S/M
183,96,XL/XXL,M/L
169,65,S/M,XXS/XS
174,71,M/L,XS/S
187,86,XL/XXL,M/L
187,85,XL/XXL,M/L
173,81,L/XL,S/M
185,100,XL/XXL,M/L
166,78,L/XL,S/M
185,75,L/XL,S/M
168,56,S/M,XXS/XS
179,108,XL/XXL,M/L
177,93,L/XL,S/M
182,101,XL/XXL,M/L
173,75,M/L,XS/S
167,73,M/L,XS/S
171,75,M/L,XS/S
170,79,L/XL,S/M
177,74,M/L,XS/S
170,86,L/XL,S/M
183,79,L/XL,S/M
175,75,M/L,XS/S
179,90,L/XL,S/M
168,67,M/L,XS/S
168,90,L/XL,S/M
175,114,XXL/XXXL,L/XL
168,78,L/XL,S/M
175,75,M/L,XS/S
171,95,L/XL,S/M
174,97,XL/XXL,M/L
195,106,XXL/XXXL,L/XL
180,83,L/XL,S/M
177,69,M/L,XS/S
177,66,M/L,XS/S
176,78,L/XL,S/M
165,72,M/L,XS/S
158,73,M/L,XS/S
168,62,S/M,XXS/XS
181,89,L/XL,S/M
183,93,L/XL,S/M
172,87,L/XL,S/M
167,78,L/XL,S/M
173,79,L/XL,S/M
181,65,M/L,XS/S
183,90,L/XL,S/M
176,76,L/XL,S/M
179,79,L/XL,S/M
182,77,L/XL,S/M
171,69,M/L,XS/S
174,76,L/XL,S/M
176,76,L/XL,S/M
176,79,L/XL,S/M
164,63,S/M,XXS/XS
171,90,L/XL,S/M
175,72,M/L,XS/S
163,64,S/M,XXS/XS
170,74,M/L,XS/S
182,112,XXL/XXXL,L/XL
176,77,L/XL,S/M
180,76,L/XL,S/M
177,96,XL/XXL,M/L
179,91,L/XL,S/M
175,84,L/XL,S/M
167,75,M/L,XS/S
181,80,L/XL,S/M
174,92,L/XL,S/M
173,74,M/L,XS/S
174,82,L/XL,S/M
177,82,L/XL,S/M
173,73,M/L,XS/S
174,76,L/XL,S/M
167,75,M/L,XS/S
161,74,M/L,XS/S
172,79,L/XL,S/M
170,79,L/XL,S/M
163,81,L/XL,S/M
171,86,L/XL,S/M
182,68,M/L,XS/S
173,87,L/XL,S/M
183,86,L/XL,S/M
163,70,M/L,XS/S
185,87,L/XL,S/M
184,120,XXL/XXXL,L/XL
172,76,L/XL,S/M
171,68,M/L,XS/S
175,65,S/M,XXS/XS
171,86,L/XL,S/M
171,62,S/M,XXS/XS
171,65,S/M,XXS/XS
171,83,L/XL,S/M
169,56,S/M,XXS/XS
176,84,L/XL,S/M
190,93,XL/XXL,M/L
171,76,L/XL,S/M
180,82,L/XL,S/M
183,88,L/XL,S/M
180,94,L/XL,S/M
168,81,L/XL,S/M
179,82,L/XL,S/M
180,89,L/XL,S/M
178,64,S/M,XXS/XS
183,93,L/XL,S/M
174,114,XXL/XXXL,L/XL
174,89,L/XL,S/M
178,74,M/L,XS/S
172,99,XL/XXL,M/L
174,68,M/L,XS/S
180,74,M/L,XS/S
178,80,L/XL,S/M
182,95,L/XL,S/M
183,112,XXL/XXXL,L/XL
180,91,L/XL,S/M
181,111,XXL/XXXL,L/XL
161,60,S/M,XXS/XS
165,63,S/M,XXS/XS
177,81,L/XL,S/M
173,86,L/XL,S/M
183,120,XXL/XXXL,L/XL
170,90,L/XL,S/M
167,81,L/XL,S/M
174,75,M/L,XS/S
180,86,L/XL,S/M
183,89,L/XL,S/M
177,69,M/L,XS/S
169,86,L/XL,S/M
177,106,XL/XXL,M/L
170,89,L/XL,S/M
173,79,L/XL,S/M
165,83,L/XL,S/M
179,81,L/XL,S/M
179,97,XL/XXL,M/L
187,73,XL/XXL,M/L
158,58,S/M,XXS/XS
175,70,M/L,XS/S
179,71,M/L,XS/S
172,76,L/XL,S/M
186,70,L/XL,S/M
166,71,M/L,XS/S
180,84,L/XL,S/M
183,79,L/XL,S/M
169,69,M/L,XS/S
177,74,M/L,XS/S
169,61,S/M,XXS/XS
171,63,S/M,XXS/XS
165,67,M/L,XS/S
171,76,L/XL,S/M
171,81,L/XL,S/M
171,77,L/XL,S/M
175,86,L/XL,S/M
166,56,S/M,XXS/XS
172,93,L/XL,S/M
166,64,S/M,XXS/XS
167,77,L/XL,S/M
186,75,L/XL,S/M
168,71,M/L,XS/S
155,63,S/M,XXS/XS
179,88,L/XL,S/M
168,69,M/L,XS/S
168,72,M/L,XS/S
181,76,L/XL,S/M
179,109,XL/XXL,M/L
180,71,M/L,XS/S
176,90,L/XL,S/M
173,77,L/XL,S/M
168,68,M/L,XS/S
167,56,S/M,XXS/XS
178,78,L/XL,S/M
169,70,M/L,XS/S
183,95,L/XL,S/M
169,61,S/M,XXS/XS
181,75,M/L,XS/S
166,73,M/L,XS/S
168,78,L/XL,S/M
186,91,L/XL,S/M
163,66,M/L,XS/S
171,69,M/L,XS/S
180,100,XL/XXL,M/L
162,70,M/L,XS/S
174,77,L/XL,S/M
180,81,L/XL,S/M
167,88,L/XL,S/M
176,82,L/XL,S/M
187,76,XL/XXL,M/L
173,94,L/XL,S/M
175,79,L/XL,S/M
183,91,L/XL,S/M
180,82,L/XL,S/M
172,76,L/XL,S/M
178,82,L/XL,S/M
177,70,M/L,XS/S
169,60,S/M,XXS/XS
172,69,M/L,XS/S
184,77,L/XL,S/M
179,88,L/XL,S/M
177,79,L/XL,S/M
182,84,L/XL,S/M
168,70,M/L,XS/S
172,88,L/XL,S/M
178,109,XL/XXL,M/L
178,75,M/L,XS/S
181,82,L/XL,S/M
178,89,L/XL,S/M
174,77,L/XL,S/M
183,71,L/XL,S/M
165,68,M/L,XS/S
181,88,L/XL,S/M
174,73,M/L,XS/S
174,79,L/XL,S/M
179,81,L/XL,S/M
174,81,L/XL,S/M
180,83,L/XL,S/M
169,72,M/L,XS/S
179,67,M/L,XS/S
170,66,M/L,XS/S
174,74,M/L,XS/S
167,60,S/M,XXS/XS
173,82,L/XL,S/M
178,74,M/L,XS/S
185,107,XL/XXL,M/L
183,86,L/XL,S/M
190,93,XL/XXL,M/L
174,72,M/L,XS/S
173,67,M/L,XS/S
174,86,L/XL,S/M
180,72,M/L,XS/S
171,77,L/XL,S/M
149,47,XS/S,XXS
176,76,L/XL,S/M
176,89,L/XL,S/M
177,70,M/L,XS/S
176,75,M/L,XS/S
174,84,L/XL,S/M
176,62,S/M,XXS/XS
165,63,S/M,XXS/XS
185,89,L/XL,S/M
176,67,M/L,XS/S
179,72,M/L,XS/S
165,68,M/L,XS/S
176,73,M/L,XS/S
178,76,L/XL,S/M
176,81,L/XL,S/M
170,82,L/XL,S/M
171,68,M/L,XS/S
177,88,L/XL,S/M
168,79,L/XL,S/M
178,85,L/XL,S/M
168,66,M/L,XS/S
180,72,M/L,XS/S
165,69,M/L,XS/S
167,88,L/XL,S/M
160,70,M/L,XS/S
167,66,M/L,XS/S
176,78,L/XL,S/M
186,97,XL/XXL,M/L
180,83,L/XL,S/M
174,81,L/XL,S/M
171,81,L/XL,S/M
174,68,M/L,XS/S
174,85,L/XL,S/M
177,72,M/L,XS/S
185,93,L/XL,S/M
185,72,L/XL,S/M
191,111,XXL/XXXL,L/XL
184,113,XXL/XXXL,L/XL
175,78,L/XL,S/M
176,67,M/L,XS/S
180,94,L/XL,S/M
181,90,L/XL,S/M
164,60,S/M,XXS/XS
176,82,L/XL,S/M
177,88,L/XL,S/M
177,78,L/XL,S/M
171,71,M/L,XS/S
179,77,L/XL,S/M
186,80,L/XL,S/M
169,77,L/XL,S/M
179,93,L/XL,S/M
183,96,XL/XXL,M/L
172,81,L/XL,S/M
181,94,L/XL,S/M
178,83,L/XL,S/M
174,82,L/XL,S/M
174,92,L/XL,S/M
179,103,XL/XXL,M/L
178,76,L/XL,S/M
172,66,M/L,XS/S
186,97,XL/XXL,M/L
168,61,S/M,XXS/XS
175,72,M/L,XS/S
162,65,S/M,XXS/XS
162,68,M/L,XS/S
179,69,M/L,XS/S
158,73,M/L,XS/S
173,73,M/L,XS/S
180,86,L/XL,S/M
179,78,L/XL,S/M
162,78,L/XL,S/M
170,105,XL/XXL,M/L
167,86,L/XL,S/M
175,83,L/XL,S/M
179,95,L/XL,S/M
184,75,L/XL,S/M
174,84,L/XL,S/M
166,77,L/XL,S/M
168,72,M/L,XS/S
184,80,L/XL,S/M
189,97,XL/XXL,M/L
192,100,XXL/XXXL,L/XL
171,105,XL/XXL,M/L
179,95,L/XL,S/M
169,95,L/XL,S/M
177,120,XXL/XXXL,L/XL
180,87,L/XL,S/M
172,94,L/XL,S/M
167,83,L/XL,S/M
171,86,L/XL,S/M
181,100,XL/XXL,M/L
173,79,L/XL,S/M
177,81,L/XL,S/M
191,131,XXL/XXXL,XL/XXL
172,93,L/XL,S/M
166,76,L/XL,S/M
169,62,S/M,XXS/XS
177,88,L/XL,S/M
176,71,M/L,XS/S
171,88,L/XL,S/M
180,81,L/XL,S/M
