stature,weightkg,SizeShirt,SizePants
156,65,XS/S,S/M
166,53,XXS/XS,XXS/XS
171,66,S/M,M/L
166,78,L/XL,XL/XXL
157,88,XL/XXL,XXL/XXXL
170,83,XL/XXL,XXL/XXXL
164,73,M/L,L/XL
167,76,L/XL,XL/XXL
152,54,XXS,XXS
159,68,S/M,M/L
170,99,XL/XXL,XXL/XXXL
166,74,M/L,L/XL
165,78,L/XL,XL/XXL
166,71,M/L,L/XL
159,70,S/M,M/L
167,67,S/M,M/L
164,62,XS/S,S/M
167,59,XXS/XS,XXS/XS
167,74,M/L,L/XL
161,60,XXS/XS,XXS/XS
151,80,L/XL,XL/XXL
167,74,M/L,L/XL
162,49,XXS/XS,XXS/XS
166,70,S/M,M/L
164,71,M/L,L/XL
157,70,S/M,M/L
144,48,XXS,XXS
162,69,S/M,M/L
168,73,M/L,L/XL
161,61,XS/S,S/M
159,65,XS/S,S/M
165,70,S/M,M/L
172,72,M/L,L/XL
167,84,XL/XXL,XXL/XXXL
165,94,XL/XXL,XXL/XXXL
163,62,XS/S,S/M
168,57,XXS/XS,XXS/XS
155,52,XXS,XXS
161,73,M/L,L/XL
158,79,L/XL,XL/XXL
164,89,XL/XXL,XXL/XXXL
168,68,S/M,M/L
165,75,M/L,L/XL
160,73,M/L,L/XL
160,74,M/L,L/XL
166,80,L/XL,XL/XXL
161,71,M/L,L/XL
162,71,M/L,L/XL
172,65,XS/S,S/M
158,47,XXS,XXS
172,69,S/M,M/L
172,119,XL/XXL,XXL/XXXL
170,88,XL/XXL,XXL/XXXL
162,75,M/L,L/XL
153,67,S/M,M/L
154,60,XXS/XS,XXS/XS
165,57,XXS/XS,XXS/XS
160,68,S/M,M/L
163,71,M/L,L/XL
161,60,XXS/XS,XXS/XS
175,69,S/M,M/L
167,85,XL/XXL,XXL/XXXL
163,61,XS/S,S/M
163,79,L/XL,XL/XXL
168,67,S/M,M/L
166,69,S/M,M/L
159,66,S/M,M/L
159,57,XXS/XS,XXS/XS
166,81,XL/XXL,XXL/XXXL
161,61,XS/S,S/M
155,64,XS/S,S/M
157,55,XXS,XXS
158,61,XS/S,S/M
169,66,S/M,M/L
155,73,M/L,L/XL
175,73,M/L,L/XL
156,69,S/M,M/L
165,75,M/L,L/XL
158,74,M/L,L/XL
165,68,S/M,M/L
171,86,XL/XXL,XXL/XXXL
182,88,XL/XXL,XXL/XXXL
164,78,L/XL,XL/XXL
168,62,XS/S,S/M
169,78,L/XL,XL/XXL
153,60,XXS/XS,XXS/XS
158,67,S/M,M/L
160,68,S/M,M/L
164,67,S/M,M/L
154,63,XS/S,S/M
160,77,L/XL,XL/XXL
164,55,XXS/XS,XXS/XS
162,72,M/L,L/XL
166,59,XXS/XS,XXS/XS
174,99,XL/XXL,XXL/XXXL
149,58,XXS/XS,XXS/XS
149,64,XS/S,S/M
164,75,M/L,L/XL
160,68,S/M,M/L
156,47,XXS,XXS
162,66,S/M,M/L
167,68,S/M,M/L
161,57,XXS/XS,XXS/XS
158,64,XS/S,S/M
173,59,S/M,M/L
150,45,XXS,XXS
151,57,XXS/XS,XXS/XS
157,72,M/L,L/XL
162,67,S/M,M/L
158,71,M/L,L/XL
173,79,L/XL,XL/XXL
157,53,XXS,XXS
162,63,XS/S,S/M
160,62,XS/S,S/M
167,78,L/XL,XL/XXL
164,59,XXS/XS,XXS/XS
153,75,M/L,L/XL
157,68,S/M,M/L
163,66,S/M,M/L
162,61,XS/S,S/M
173,74,M/L,L/XL
152,52,XXS,XXS
173,76,L/XL,XL/XXL
162,66,S/M,M/L
150,50,XXS,XXS
156,63,XS/S,S/M
164,66,S/M,M/L
167,61,XS/S,S/M
152,58,XXS/XS,XXS/XS
162,60,XXS/XS,XXS/XS
158,57,XXS/XS,XXS/XS
167,79,L/XL,XL/XXL
155,74,M/L,L/XL
163,61,XS/S,S/M
153,67,S/M,M/L
160,50,XXS,XXS
161,63,XS/S,S/M
164,71,M/L,L/XL
168,72,M/L,L/XL
165,67,S/M,M/L
162,83,XL/XXL,XXL/XXXL
163,62,XS/S,S/M
157,61,XS/S,S/M
160,57,XXS/XS,XXS/XS
166,50,XXS/XS,XXS/XS
158,61,XS/S,S/M
170,86,XL/XXL,XXL/XXXL
160,52,XXS,XXS
154,67,S/M,M/L
156,54,XXS,XXS
167,57,XXS/XS,XXS/XS
159,64,XS/S,S/M
162,64,XS/S,S/M
154,59,XXS/XS,XXS/XS
155,56,XXS/XS,XXS/XS
161,58,XXS/XS,XXS/XS
169,81,XL/XXL,XXL/XXXL
169,64,XS/S,S/M
170,65,XS/S,S/M
162,57,XXS/XS,XXS/XS
166,80,L/XL,XL/XXL
155,67,S/M,M/L
159,67,S/M,M/L
163,55,XXS/XS,XXS/XS
164,70,S/M,M/L
166,53,XXS/XS,XXS/XS
166,77,L/XL,XL/XXL
156,60,XXS/XS,XXS/XS
161,71,M/L,L/XL
161,61,XS/S,S/M
168,76,L/XL,XL/XXL
160,73,M/L,L/XL
154,56,XXS/XS,XXS/XS
163,64,XS/S,S/M
165,72,M/L,L/XL
159,70,S/M,M/L
174,95,XL/XXL,XXL/XXXL
166,74,M/L,L/XL
152,70,S/M,M/L
158,65,XS/S,S/M
153,49,XXS,XXS
157,55,XXS,XXS
177,92,XL/XXL,XXL/XXXL
171,71,M/L,L/XL
165,67,S/M,M/L
151,64,XS/S,S/M
165,66,S/M,M/L
161,66,S/M,M/L
168,76,L/XL,XL/XXL
160,71,M/L,L/XL
153,64,XS/S,S/M
160,59,XXS/XS,XXS/XS
162,52,XXS/XS,XXS/XS
161,69,S/M,M/L
160,69,S/M,M/L
157,59,XXS/XS,XXS/XS
163,54,XXS/XS,XXS/XS
169,70,S/M,M/L
168,68,S/M,M/L
165,86,XL/XXL,XXL/XXXL
167,67,S/M,M/L
162,55,XXS/XS,XXS/XS
162,56,XXS/XS,XXS/XS
163,58,XXS/XS,XXS/XS
152,62,XS/S,S/M
157,46,XXS,XXS
161,59,XXS/XS,XXS/XS
169,64,XS/S,S/M
163,81,XL/XXL,XXL/XXXL
171,71,M/L,L/XL
158,54,XXS,XXS
152,48,XXS,XXS
161,65,XS/S,S/M
163,75,M/L,L/XL
164,63,XS/S,S/M
171,75,M/L,L/XL
171,75,M/L,L/XL
165,46,XXS/XS,XXS/XS
159,53,XXS,XXS
175,75,M/L,L/XL
158,67,S/M,M/L
162,68,S/M,M/L
158,67,S/M,M/L
167,61,XS/S,S/M
160,71,M/L,L/XL
168,64,XS/S,S/M
177,74,M/L,L/XL
168,79,L/XL,XL/XXL
164,58,XXS/XS,XXS/XS
155,72,M/L,L/XL
166,70,S/M,M/L
160,65,XS/S,S/M
165,72,M/L,L/XL
162,72,M/L,L/XL
166,56,XXS/XS,XXS/XS
156,58,XXS/XS,XXS/XS
163,67,S/M,M/L
152,57,XXS/XS,XXS/XS
165,55,XXS/XS,XXS/XS
151,46,XXS,XXS
162,56,XXS/XS,XXS/XS
167,82,XL/XXL,XXL/XXXL
149,66,S/M,M/L
153,62,XS/S,S/M
156,65,XS/S,S/M
159,53,XXS,XXS
157,75,M/L,L/XL
159,70,S/M,M/L
161,67,S/M,M/L
156,64,XS/S,S/M
152,47,XXS,XXS
157,50,XXS,XXS
155,59,XXS/XS,XXS/XS
159,64,XS/S,S/M
161,72,M/L,L/XL
168,63,XS/S,S/M
158,63,XS/S,S/M
161,66,S/M,M/L
167,78,L/XL,XL/XXL
165,53,XXS/XS,XXS/XS
159,70,S/M,M/L
159,62,XS/S,S/M
161,68,S/M,M/L
158,73,M/L,L/XL
159,68,S/M,M/L
169,84,XL/XXL,XXL/XXXL
161,64,XS/S,S/M
166,56,XXS/XS,XXS/XS
160,73,M/L,L/XL
160,73,M/L,L/XL
169,60,XS/S,S/M
172,72,M/L,L/XL
174,90,XL/XXL,XXL/XXXL
169,76,L/XL,XL/XXL
164,60,XXS/XS,XXS/XS
157,57,XXS/XS,XXS/XS
158,60,XXS/XS,XXS/XS
160,66,S/M,M/L
160,82,XL/XXL,XXL/XXXL
171,76,L/XL,XL/XXL
162,67,S/M,M/L
152,58,XXS/XS,XXS/XS
164,61,XS/S,S/M
161,52,XXS/XS,XXS/XS
168,84,XL/XXL,XXL/XXXL
164,59,XXS/XS,XXS/XS
167,66,S/M,M/L
165,67,S/M,M/L
163,65,XS/S,S/M
164,59,XXS/XS,XXS/XS
161,73,M/L,L/XL
153,55,XXS,XXS
160,56,XXS/XS,XXS/XS
168,56,XXS/XS,XXS/XS
160,87,XL/XXL,XXL/XXXL
144,73,M/L,L/XL
162,61,XS/S,S/M
159,50,XXS,XXS
168,82,XL/XXL,XXL/XXXL
154,56,XXS/XS,XXS/XS
162,75,M/L,L/XL
162,59,XXS/XS,XXS/XS
159,69,S/M,M/L
160,82,XL/XXL,XXL/XXXL
161,58,XXS/XS,XXS/XS
174,92,XL/XXL,XXL/XXXL
160,84,XL/XXL,XXL/XXXL
157,84,XL/XXL,XXL/XXXL
161,66,S/M,M/L
175,89,XL/XXL,XXL/XXXL
170,84,XL/XXL,XXL/XXXL
178,84,XL/XXL,XXL/XXXL
158,59,XXS/XS,XXS/XS
168,68,S/M,M/L
166,69,S/M,M/L
157,74,M/L,L/XL
165,69,S/M,M/L
158,69,S/M,M/L
157,56,XXS/XS,XXS/XS
160,69,S/M,M/L
158,46,XXS,XXS
153,70,S/M,M/L
159,83,XL/XXL,XXL/XXXL
158,78,L/XL,XL/XXL
160,59,XXS/XS,XXS/XS
166,58,XXS/XS,XXS/XS
160,74,M/L,L/XL
151,42,XXS,XXS
170,85,XL/XXL,XXL/XXXL
170,66,S/M,M/L
150,57,XXS/XS,XXS/XS
158,56,XXS/XS,XXS/XS
173,71,M/L,L/XL
166,76,L/XL,XL/XXL
164,55,XXS/XS,XXS/XS
161,56,XXS/XS,XXS/XS
164,64,XS/S,S/M
158,76,L/XL,XL/XXL
166,70,S/M,M/L
156,56,XXS/XS,XXS/XS
172,81,XL/XXL,XXL/XXXL
156,72,M/L,L/XL
158,68,S/M,M/L
178,92,XL/XXL,XXL/XXXL
160,66,S/M,M/L
159,56,XXS/XS,XXS/XS
159,56,XXS/XS,XXS/XS
157,65,XS/S,S/M
153,67,S/M,M/L
165,77,L/XL,XL/XXL
161,63,XS/S,S/M
164,69,S/M,M/L
154,68,S/M,M/L
161,57,XXS/XS,XXS/XS
152,74,M/L,L/XL
165,58,XXS/XS,XXS/XS
160,75,M/L,L/XL
170,74,M/L,L/XL
167,81,XL/XXL,XXL/XXXL
172,76,L/XL,XL/XXL
167,82,XL/XXL,XXL/XXXL
179,79,L/XL,XL/XXL
164,73,M/L,L/XL
158,62,XS/S,S/M
158,65,XS/S,S/M
164,70,S/M,M/L
156,49,XXS,XXS
165,64,XS/S,S/M
165,65,XS/S,S/M
162,65,XS/S,S/M
163,85,XL/XXL,XXL/XXXL
171,63,XS/S,S/M
160,64,XS/S,S/M
160,60,XXS/XS,XXS/XS
157,70,S/M,M/L
160,65,XS/S,S/M
159,77,L/XL,XL/XXL
160,52,XXS,XXS
164,68,S/M,M/L
171,101,XL/XXL,XXL/XXXL
163,48,XXS/XS,XXS/XS
165,82,XL/XXL,XXL/XXXL
162,72,M/L,L/XL
153,61,XS/S,S/M
169,69,S/M,M/L
165,75,M/L,L/XL
161,78,L/XL,XL/XXL
176,81,XL/XXL,XXL/XXXL
158,48,XXS,XXS
159,59,XXS/XS,XXS/XS
178,74,M/L,L/XL
170,79,L/XL,XL/XXL
165,64,XS/S,S/M
161,72,M/L,L/XL
166,60,XXS/XS,XXS/XS
162,63,XS/S,S/M
163,76,L/XL,XL/XXL
174,69,S/M,M/L
168,81,XL/XXL,XXL/XXXL
158,50,XXS,XXS
161,66,S/M,M/L
155,40,XXS,XXS
158,73,M/L,L/XL
168,77,L/XL,XL/XXL
159,63,XS/S,S/M
169,76,L/XL,XL/XXL
164,69,S/M,M/L
157,57,XXS/XS,XXS/XS
160,61,XS/S,S/M
166,66,S/M,M/L
